workorder num,actual code,exsisting code,update status
11084,,,retry
11201,,,retry
11290,2700,*2727 - Pierce- 10.1% Tax Code,retry
11398,,*2701 - Bonney Lake - 9.5% Tax Code,retry
11393,2700,*2727 - Pierce- 10.1% Tax Code,retry
11401,,*2700-Pierce- 9.5% Tax Code,retry
11432,,*2701 - Bonney Lake - 9.5% Tax Code,retry
11499,2727,*2700-Pierce- 9.5% Tax Code,retry
11544,2700,*2727 - Pierce- 10.1% Tax Code,retry
11649,2700,*2727 - Pierce- 10.1% Tax Code,retry
11709,,,retry
11752,4100,*ORTING - 2710 -9.5.% Tax Code972-inactive,retry
11833,,,retry
11802,,,retry
12015,,EDGEWOOD - 2720 Tax Code872-inactive,retry
12165,,,retry
12480,,,retry
12522,4100,*2727 - Pierce- 10.1% Tax Code,retry
12743,,,retry
12744,,,retry
12913,4100,*2727 - Pierce- 10.1% Tax Code,retry
13014,,,retry
