workorder num,actual code,exsisting code,update status
11045,2720,EDGEWOOD-2720 10% Tax Code-inactive,Correct
11065,2709,*2727 - Pierce- 10.1% Tax Code,updated
11052,2720,EDGEWOOD - 2720 Tax Code872-inactive,Correct
11084,,,Check Manually
11077,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11088,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11074,2700,*2700-Pierce- 9.5% Tax Code,Correct
11098,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
10997,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11100,2717,*2727 - Pierce- 10.1% Tax Code,updated
11081,2700,PIERCE - 2727 Tax Code844-inactive,updated
11112,2707,UNIVERSITY PLACE 10% Tax Code-inactive,updated
11111,2700,*2700-Pierce- 9.5% Tax Code,Correct
11080,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11095,2700,*2700-Pierce- 9.5% Tax Code,Correct
11108,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,Correct
11093,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11113,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,Correct
11126,2700,*2700-Pierce- 9.5% Tax Code,Correct
11048,1702,*AUBURN - 1702 - 10.3.% Tax Code992-inactive,Correct
11101,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
11105,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
11115,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11097,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11118,2700,*2727 - Pierce- 10.1% Tax Code,updated
11129,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11133,2700,*2727 - Pierce- 10.1% Tax Code,updated
11087,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11136,2700,*2700-Pierce- 9.5% Tax Code,Correct
11143,2700,*2700-Pierce- 9.5% Tax Code,Correct
11119,2700,*2700-Pierce- 9.5% Tax Code,Correct
11139,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11141,2700,PIERCE - 2727 Tax Code844-inactive,updated
11104,1734,*BURIEN - 1734 -10.2.% Tax Code998-inactive,Correct
11149,2745,*2745 - Puyallup Tribe- 10.1% Tax Co,Correct
11116,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11138,2700,*2700-Pierce- 9.5% Tax Code,Correct
11148,2700,PIERCE CO RTA-2700-eff 07/23 Tax Cod-inactive,Correct
11156,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11151,2700,*2700-Pierce- 9.5% Tax Code,Correct
11158,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11162,2700,PIERCE - 2700 Tax Code842-inactive,Correct
11163,2700,*2700-Pierce- 9.5% Tax Code,Correct
11155,2700,*2700-Pierce- 9.5% Tax Code,Correct
11157,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
11106,2700,*2727 - Pierce- 10.1% Tax Code,updated
11170,2700,PIERCE - 2700 Tax Code842-inactive,Correct
11173,2700,*2700-Pierce- 9.5% Tax Code,Correct
11179,2700,*2700-Pierce- 9.5% Tax Code,Correct
11188,2717,TACOMA-2717-eff 07/21.-inactive,Correct
11187,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11192,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11196,2719,UNIVERSITY PLACE - 2719 Tax Code835-inactive,Correct
11146,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11194,4100,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,Correct
11180,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11206,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11201,,,Check Manually
11205,2700,*2700-Pierce- 9.5% Tax Code,Correct
10992,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,Correct
