workorder num,workorder url,actual code,exsisting code,after update code,update status,tax rate difference,due amount
11045,https://login.fieldedge.com/#/DispatchSummary/a2d4a739-b21b-41bc-8bd4-2d0e4e01c0c5/c70bee45-75da-4bb3-aa2d-faeea82c0dd7,2720,EDGEWOOD-2720 10% Tax Code-inactive,EDGEWOOD-2720 10% Tax Code-inactive,skipped,+0.10%,$0.00
11065,https://login.fieldedge.com/#/DispatchSummary/d56639db-3e21-43c3-8a93-3795d4f6919a/f726b678-83ed-4ba3-b8cb-30975ca80774,2709,*2727 - Pierce- 10.1% Tax Code,*2709 - Milton - 10.1% Tax Code,new update,0.00%,$0.00
11052,https://login.fieldedge.com/#/DispatchSummary/104fa77c-21c4-4c9e-b95f-eca31310d580/66d24594-e7d8-4942-8b52-0f4f8d53fe50,2720,EDGEWOOD - 2720 Tax Code872-inactive,EDGEWOOD - 2720 Tax Code872-inactive,skipped,+10.10%,$0.00
11084,https://login.fieldedge.com/#/DispatchSummary/58e40a97-1e5c-48d6-a511-051792ce8dcb/d46cbecc-2a80-486f-bf4a-87939c1b2949,2720,EDGEWOOD-2720 10% Tax Code,EDGEWOOD-2720 10% Tax Code,not edidtable,+0.10%,$0.00
11077,https://login.fieldedge.com/#/DispatchSummary/a2b205c5-2296-427e-8bba-986b4a514cf1/c77e0107-e726-4e95-bbd2-9b55f38165bc,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11088,https://login.fieldedge.com/#/DispatchSummary/a8ff62a4-840b-4983-94ca-9be6d6aa252c/4b83c2d3-89b0-4216-b7f4-5e2b6ce5b238,2720,*2720 - Edgewood - 10.1% Tax Code,*2720 - Edgewood - 10.1% Tax Code,skipped,0.00%,$0.00
11074,https://login.fieldedge.com/#/DispatchSummary/827a1a0b-3b96-477a-a42c-d35e3b4b55cc/3049710d-b2e2-491f-b484-e42ba8b1550c,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11098,https://login.fieldedge.com/#/DispatchSummary/7f0e6ee5-2a33-48a2-b3d1-313aac43c921/682646ee-3e04-4c93-aee0-c284c3fc11a2,2701,*2701 - Bonney Lake - 9.5% Tax Code,*2701 - Bonney Lake - 9.5% Tax Code,skipped,0.00%,$0.00
10997,https://login.fieldedge.com/#/DispatchSummary/ceb0252e-c14e-406b-89cc-df5dfb35731c/8a7b47fb-bef5-483c-9a71-b0cb334be7d9,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11100,https://login.fieldedge.com/#/DispatchSummary/8e4852a4-df3f-4e3b-ae9f-4bb14b82ca6b/22ad882a-e0d3-432d-a526-4921c6351ab8,2717,*2727 - Pierce- 10.1% Tax Code,*2717 - Tacoma - 10.4% Tax Code,new update,+0.30%,$2.26
11081,https://login.fieldedge.com/#/DispatchSummary/abba3e45-bc52-4a0e-930e-d10d80ad7bde/323c32d4-b82a-4371-9b46-f0396534464d,2700,PIERCE - 2727 Tax Code844-inactive,*2700-Pierce- 9.5% Tax Code,new update,+9.50%,$0.00
11112,https://login.fieldedge.com/#/DispatchSummary/49a8cc09-38b5-45b7-8035-ad0e358f0f8c/cb0bed6f-3ef8-499f-9218-8feb3ae73b1a,2707,UNIVERSITY PLACE 10% Tax Code-inactive,*2707 - Fircrest -10.1% Tax Code,new update,+0.10%,$0.00
11111,https://login.fieldedge.com/#/DispatchSummary/32d80314-bf1d-4ec8-8720-b8c8310c0091/cd92324c-ede3-4f0b-be0f-2ee1a34a68e5,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11080,https://login.fieldedge.com/#/DispatchSummary/79516972-f211-4b4a-96ae-f677d6b34957/bfb8f2ba-ae77-49d9-bff2-3289163f1b24,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
